Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Commiters weighted with experience;Commiters weighted with involvement;Number of Modified Lines;Number of Modified Lines weighted with experience;Number of Modified Lines weighted with involvement;;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/poi/util/SystemOutLogger;1;2;1;0.02515723270440251;0.9766397124887691;90;2.264150943396226;87.89757412398923;;4;2;0;1;12;4;0;1;4;0.6666666666666666;43;1.0;0;0.8928571428571429;0.5;1;3;9.5
org/apache/poi/hssf/record/PaletteRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;13;2;0;8;32;52;4;4;11;0.9333333333333332;809;0.4;0;0.5714285714285714;0.4153846153846154;1;6;60.84615384615385
org/apache/poi/util/IOUtils;1;3;2;0.02605570530098833;1.9559748427672956;67;1.6855345911949682;65.43486073674754;;3;1;0;3;5;3;3;0;2;2.0;42;0.0;0;0.0;0.5;0;0;13.0
org/apache/poi/hssf/eventmodel/EventRecordFactory;0;1;1;0.02515723270440251;0.9766397124887691;68;1.7106918238993707;66.4115004492363;;10;1;0;15;62;15;2;13;6;0.6444444444444444;782;1.0;0;0.0;0.1728395061728395;0;0;76.7
org/apache/poi/hssf/eventusermodel/HSSFUserException;0;1;1;0.02515723270440251;0.9766397124887691;71;1.7861635220125782;69.34141958670261;;5;3;0;3;7;4;3;0;5;0.5;29;1.0;0;0.9545454545454546;0.6;0;0;4.6
org/apache/poi/poifs/filesystem/POIFSFileSystem;1;2;2;0.02605570530098833;1.9559748427672956;69;1.6873315363881398;67.3935309973046;;17;1;0;37;95;106;10;28;13;0.35416666666666663;458;1.0;2;0.0;0.14479638009049775;0;0;25.764705882352942
org/apache/poi/hssf/usermodel/HSSFPicture;0;1;1;0.02515723270440251;0.9766397124887691;0;0.0;0.0;;3;3;0;4;5;1;1;3;2;1.3571428571428572;25;0.0;0;0.9;0.5;0;0;5.0
org/apache/poi/poifs/storage/PropertyBlock;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;4;2;0;5;11;4;1;4;2;0.8333333333333334;108;1.0;1;0.5;0.4;1;1;25.5
org/apache/poi/hssf/model/DrawingManager2;0;1;1;0.02515723270440251;0.9766397124887691;0;0.0;0.0;;8;1;0;3;29;0;0;3;4;0.35714285714285715;242;0.0;1;0.0;0.375;0;0;29.0
org/apache/poi/poifs/storage/BlockList;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;4;1;0;6;4;6;5;2;4;2.0;4;0.0;0;0.0;0.6666666666666666;0;0;0.0
org/apache/poi/hssf/record/InterfaceEndRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;9;2;0;4;17;36;1;3;7;1.125;70;0.0;0;0.6666666666666666;0.5555555555555556;1;6;6.666666666666667
org/apache/poi/hssf/record/UnknownRecord;1;3;1;0.02515723270440251;0.9766397124887691;92;2.314465408805031;89.85085354896677;;11;2;0;10;22;0;7;3;8;0.35;179;1.0;0;0.6;0.5454545454545454;1;6;15.090909090909092
org/apache/poi/hpsf/Util;0;1;1;0.02515723270440251;0.9766397124887691;70;1.7610062893081757;68.36477987421384;;6;1;0;2;8;15;2;0;6;1.2;139;0.0;0;0.0;0.3333333333333333;0;0;22.0
